cantidad_animales,peso_promedio_entrada,precio_compra_kg,costo_adquisicion_total,costo_combustible_viaje,costo_peajes_lavado,costo_flete_estimado,mantenimiento_camion_prorrateado,costo_fijo_diario_lote,factor_ocupacion_granja,tasa_consumo_energia_agua,costo_mano_obra_asignada,duracion_estadia_dias,costo_alimentacion_total,costo_sanitario_total,merma_peso_transporte,peso_salida_esperado,mes_adquisicion,dia_semana_llegada,es_feriado_proximo,dias_para_festividad,costo_operativo_por_cabeza,ratio_alimento_precio_compra,indicador_eficiencia_estadia,precio_venta_kg
96,109.33,19.89,208759.69,107.26,176.66,1638.61,17.34,1425.0,0.375,7.1,91.82,3,510.91,1361.6,51.65,10706.44,1,2,0,999,34.87,0.0024,36.44,23.0
81,111.85,22.18,200996.75,103.84,285.15,2000.87,17.05,475.0,0.623,5.84,75.55,1,108.49,418.74,42.82,9108.11,4,1,0,999,35.37,0.0005,111.85,25.43
54,108.02,21.09,123037.2,100.68,199.74,1738.79,17.44,1425.0,0.715,4.29,55.54,3,209.93,661.6,25.93,6000.4,3,0,0,999,64.15,0.0017,36.01,24.8
101,96.62,19.71,192359.62,50.08,207.9,2005.65,17.05,475.0,0.392,7.28,94.2,1,139.52,768.03,56.38,9786.77,4,3,1,1,27.12,0.0007,96.62,23.83
70,100.32,24.18,169802.26,76.97,228.51,1491.1,17.34,1425.0,0.794,5.54,71.66,3,248.14,503.34,32.83,7190.58,11,2,0,999,46.02,0.0015,33.44,26.83
59,103.63,20.62,126064.19,99.72,224.48,1766.71,18.87,950.0,0.417,4.85,62.77,2,206.07,710.24,28.32,6256.42,7,1,0,999,51.54,0.0016,51.82,23.88
60,98.47,21.12,124793.58,107.03,262.06,1455.05,17.34,475.0,0.547,4.75,61.42,1,88.5,748.72,23.87,5969.26,11,3,0,999,38.32,0.0007,98.47,23.15
35,98.55,20.87,71975.79,52.41,227.46,1099.79,17.44,475.0,0.618,2.66,34.4,1,66.0,370.66,16.54,3468.47,6,3,1,0,52.99,0.0009,98.55,23.62
20,104.09,19.27,40123.79,98.28,223.03,1422.92,18.29,1425.0,0.743,1.59,20.61,3,112.7,140.45,14.12,2152.14,10,4,0,999,158.46,0.0028,34.7,23.55
71,97.03,23.12,159279.26,75.8,270.76,864.15,20.83,950.0,0.434,6.63,85.76,2,164.13,359.48,30.02,7035.28,2,5,0,999,30.43,0.001,48.51,25.21
108,91.67,21.14,209275.96,74.22,243.23,1544.39,18.29,475.0,0.501,8.6,111.31,1,131.63,1336.26,76.75,9983.76,10,6,0,999,21.64,0.0006,91.67,23.8
17,94.18,18.11,29002.58,82.35,255.86,856.98,16.76,1425.0,0.783,1.3,16.8,3,71.94,186.93,12.42,1664.0,8,1,0,999,154.13,0.0025,31.39,20.69
105,102.57,24.75,266536.61,95.88,230.43,1959.49,17.34,1425.0,0.497,7.76,100.43,3,352.43,968.67,66.48,11091.54,1,3,1,7,35.34,0.0013,34.19,27.48
101,97.52,23.71,233544.97,49.09,287.99,1071.49,16.95,475.0,0.669,7.01,90.68,1,170.63,720.72,31.85,9931.95,9,2,0,999,18.65,0.0007,97.52,26.04
40,100.22,23.06,92464.18,74.7,267.24,1144.99,17.44,475.0,0.538,3.04,39.32,1,69.5,504.77,23.22,4021.63,6,2,0,999,49.05,0.0008,100.22,24.97
80,102.86,24.08,198180.7,106.23,297.57,1658.02,17.34,1425.0,0.333,5.91,76.52,3,413.12,456.72,57.33,8452.62,1,3,1,0,43.59,0.0021,34.29,28.73
28,94.5,24.35,64424.75,78.24,157.67,1252.04,17.34,950.0,0.608,2.21,28.66,2,82.33,319.96,13.52,2692.93,11,4,0,999,87.07,0.0013,47.25,29.22
94,103.55,20.36,198201.74,53.38,222.43,1204.99,18.87,475.0,0.514,7.73,100.01,1,173.26,1117.09,41.49,9809.89,7,2,0,999,20.81,0.0009,103.55,22.35
87,100.53,22.28,194836.0,51.5,188.33,1904.47,16.76,950.0,0.458,6.64,85.99,2,279.42,629.23,40.08,8856.19,8,0,0,999,35.57,0.0014,50.27,26.2
49,87.62,22.26,95579.37,73.51,180.94,1579.65,18.87,1425.0,0.815,4.03,52.13,3,293.06,481.83,25.07,4471.9,7,3,1,7,66.51,0.0031,29.21,25.55
17,109.04,19.87,36834.13,106.84,220.26,921.38,20.83,950.0,0.764,1.59,20.53,2,61.72,173.43,5.7,1898.17,2,1,0,999,129.32,0.0017,54.52,22.69
117,93.49,19.55,213893.7,74.8,184.96,2257.46,21.13,1425.0,0.466,10.44,135.08,3,604.51,1276.8,49.0,11222.04,5,5,0,999,33.69,0.0028,31.16,20.96
59,84.26,18.8,93447.18,95.65,256.31,1505.44,16.95,475.0,0.614,4.09,52.97,1,66.27,826.7,36.78,5007.84,9,0,0,999,39.53,0.0007,84.26,21.22
109,89.14,22.62,219734.3,78.76,217.13,1691.64,21.13,1425.0,0.731,9.72,125.84,3,599.26,1140.59,58.45,10102.94,5,0,0,999,31.31,0.0027,29.71,24.6
85,89.33,23.47,178185.07,73.67,210.79,2201.33,17.34,950.0,0.331,6.72,87.02,2,221.95,482.22,36.01,7759.15,11,5,0,999,40.42,0.0012,44.67,27.08
96,97.92,23.33,219272.32,49.67,214.42,1919.71,17.05,1425.0,0.356,6.92,89.54,3,408.65,811.17,73.48,9745.57,4,6,1,5,37.59,0.0019,32.64,25.53
94,95.31,20.21,181097.88,81.12,183.67,1859.27,17.44,950.0,0.623,7.14,92.4,2,275.0,1060.63,42.09,9134.74,6,2,1,4,32.7,0.0015,47.65,21.4
31,94.81,19.44,57124.14,52.44,215.25,803.97,17.44,1425.0,0.858,2.35,30.47,3,123.81,258.27,11.3,3019.67,6,4,0,999,80.54,0.0022,31.6,21.1
50,102.46,21.18,108478.53,98.48,196.42,1482.62,17.34,475.0,0.856,3.7,47.82,1,55.42,633.97,19.98,5159.4,1,2,0,999,45.05,0.0005,102.46,25.55
61,100.22,21.83,133440.53,51.44,195.75,1231.11,18.29,475.0,0.569,4.86,62.87,1,73.16,420.84,27.35,6155.65,10,5,0,999,32.02,0.0005,100.22,24.04
65,100.03,24.43,158863.54,105.12,180.55,1832.9,20.83,1425.0,0.722,6.07,78.51,3,351.68,417.95,36.48,6655.99,2,3,0,999,54.52,0.0022,33.34,27.79
14,100.78,24.12,34036.23,49.46,231.84,640.36,17.44,475.0,0.594,1.06,13.76,1,23.13,102.34,4.66,1425.15,6,6,1,0,99.76,0.0007,100.78,28.02
70,102.43,24.41,175037.83,74.01,211.98,1923.37,17.34,1425.0,0.842,5.54,71.66,3,408.0,963.26,50.92,7377.92,11,5,0,999,51.92,0.0023,34.14,28.03
27,80.64,23.95,52147.51,53.31,237.65,877.04,17.75,475.0,0.641,2.08,26.96,1,49.17,318.85,19.95,2185.84,12,1,1,2,60.85,0.0009,80.64,28.8
92,94.58,24.75,215386.89,53.25,198.34,1354.6,17.44,1425.0,0.834,7.31,94.62,3,387.01,938.44,42.24,8961.79,3,3,0,999,32.95,0.0018,31.53,27.61
85,80.06,21.26,144663.18,108.43,219.53,2171.7,21.13,950.0,0.518,7.58,98.13,2,303.66,680.29,58.45,6926.74,5,0,0,999,40.58,0.0021,40.03,23.3
112,97.79,18.33,200781.19,51.62,238.64,2210.1,18.87,950.0,0.858,9.21,119.16,2,353.12,1588.82,67.18,11134.56,7,6,0,999,30.81,0.0018,48.89,21.54
92,97.46,18.58,166643.49,73.48,160.54,1589.76,16.95,950.0,0.735,6.38,82.6,2,236.68,1277.67,66.49,9115.32,9,6,0,999,30.15,0.0014,48.73,21.13
50,105.86,20.73,109738.54,102.51,182.4,1498.73,17.05,950.0,0.76,3.6,46.63,2,197.51,449.7,21.92,5374.45,4,3,1,1,54.67,0.0018,52.93,24.22
117,107.0,19.8,247926.38,79.44,168.53,2638.87,18.87,950.0,0.308,9.62,124.48,2,451.27,1465.69,70.8,12769.54,7,0,0,999,32.79,0.0018,53.5,21.7
55,99.12,19.19,104616.26,49.98,245.51,1335.67,17.34,950.0,0.783,4.35,56.31,2,122.34,777.46,18.5,5592.71,11,6,1,1,46.93,0.0012,49.56,22.8
46,93.5,24.67,106112.83,78.55,223.22,1155.34,18.29,1425.0,0.397,3.66,47.41,3,253.84,374.14,14.02,4447.75,10,1,0,999,62.65,0.0024,31.17,28.15
110,101.38,19.37,215990.11,74.86,245.39,1962.15,18.29,1425.0,0.861,8.76,113.37,3,355.64,911.59,81.11,11499.16,10,2,1,5,33.7,0.0016,33.79,22.13
51,93.28,24.72,117575.08,54.91,185.9,1411.37,17.34,950.0,0.413,4.03,52.21,2,196.74,533.36,22.81,4882.34,11,5,0,999,51.02,0.0017,46.64,28.37
18,97.49,23.33,40932.23,54.85,193.17,795.02,17.34,950.0,0.795,1.42,18.43,2,58.47,163.51,9.41,1779.03,11,2,0,999,110.72,0.0014,48.74,28.32
62,105.39,22.49,146930.35,77.27,293.12,1108.95,18.87,475.0,0.681,5.1,65.96,1,72.33,782.12,25.79,6566.17,7,0,0,999,31.52,0.0005,105.39,26.63
98,93.04,22.73,207264.93,82.85,176.07,1931.47,17.75,1425.0,0.535,7.56,97.86,3,534.28,1016.19,72.36,9295.49,12,1,1,3,36.89,0.0026,31.01,26.98
31,103.95,20.32,65478.34,55.86,214.08,1133.67,17.44,475.0,0.834,2.35,30.47,1,46.99,220.68,15.26,3241.44,6,1,0,999,60.6,0.0007,103.95,22.17
61,102.92,22.52,141413.5,74.14,175.97,958.9,16.95,950.0,0.532,4.23,54.77,2,129.27,522.4,23.76,6380.19,9,2,0,999,35.39,0.0009,51.46,26.51
24,89.86,19.31,41638.69,76.62,235.82,1086.47,17.75,1425.0,0.338,1.85,23.97,3,129.49,281.1,14.5,2228.03,12,4,0,999,117.66,0.0031,29.95,23.99
86,105.29,24.56,222427.42,53.2,244.99,1630.2,17.34,1425.0,0.345,6.36,82.25,3,461.39,475.95,34.63,9308.27,1,4,1,6,38.99,0.0021,35.1,29.64
62,103.09,20.11,128549.16,73.68,194.79,1287.04,17.75,950.0,0.811,4.78,61.91,2,183.78,522.14,26.68,6480.52,12,0,0,999,40.41,0.0014,51.54,23.78
46,98.32,19.79,89483.74,100.4,212.69,1376.26,18.29,950.0,0.53,3.66,47.41,2,159.26,237.4,29.27,4592.03,10,1,1,6,57.38,0.0018,49.16,23.7
35,91.4,22.98,73508.2,75.52,204.13,1183.41,17.75,475.0,0.791,2.7,34.95,1,36.41,462.3,27.29,3200.47,12,2,1,1,55.37,0.0005,91.4,27.58
72,90.63,22.6,147435.49,82.7,254.96,1873.07,18.29,950.0,0.312,5.73,74.21,2,189.81,444.38,48.77,6645.69,10,5,0,999,43.9,0.0013,45.31,25.92
84,93.2,21.16,165647.99,100.8,260.77,1241.91,20.83,475.0,0.345,7.84,101.46,1,140.55,484.85,30.41,7881.42,2,4,0,999,24.74,0.0008,93.2,24.13
114,101.84,22.43,260375.46,80.73,193.75,2412.54,17.05,1425.0,0.892,8.22,106.33,3,420.87,1466.72,52.02,11858.33,4,1,0,999,36.07,0.0016,33.95,24.27
58,89.85,19.12,99627.11,51.71,185.95,1039.93,17.34,1425.0,0.385,4.29,55.47,3,252.37,341.91,40.49,5318.32,1,4,0,999,46.6,0.0025,29.95,22.05
27,101.0,22.71,61939.22,74.17,259.94,1276.5,16.76,475.0,0.712,2.06,26.69,1,52.16,319.75,11.81,2750.29,8,0,0,999,77.24,0.0008,101.0,25.65
102,87.57,19.89,177690.24,81.78,182.46,2290.4,17.44,475.0,0.51,7.75,100.26,1,186.33,897.46,68.34,8962.64,6,1,0,999,29.7,0.001,87.57,21.39
79,95.87,19.91,150787.83,72.8,294.85,1814.96,17.44,950.0,0.6,6.0,77.65,2,246.16,1044.14,42.34,7730.46,6,1,0,999,39.65,0.0016,47.93,22.41
87,98.38,19.14,163775.14,49.39,200.4,1245.03,16.95,950.0,0.368,6.04,78.11,2,274.35,594.08,64.57,8732.77,9,4,0,999,28.1,0.0017,49.19,22.51
20,115.0,20.33,46751.27,51.55,249.62,836.21,18.29,950.0,0.46,1.59,20.61,2,75.48,116.88,9.59,2336.41,10,1,1,6,104.37,0.0016,57.5,24.54
44,86.48,20.32,77316.63,79.94,296.83,1091.6,17.34,475.0,0.754,3.25,42.08,1,81.97,320.5,33.76,3810.72,1,1,0,999,44.17,0.0011,86.48,25.48
95,109.28,21.18,219866.72,99.85,194.01,2682.51,17.75,1425.0,0.621,7.33,94.86,3,310.16,1360.53,47.85,10683.98,12,1,0,999,46.33,0.0014,36.43,25.44
102,98.7,19.33,194629.92,96.1,306.97,1866.78,21.13,475.0,0.602,9.1,117.76,1,149.49,1355.7,67.64,10086.35,5,6,0,999,26.91,0.0008,98.7,21.99
58,100.79,19.35,113122.07,99.52,240.12,1804.89,18.29,950.0,0.866,4.62,59.78,2,138.14,455.76,23.06,5981.88,10,4,0,999,53.35,0.0012,50.39,21.48
99,98.45,21.79,212391.53,50.71,164.46,1615.39,16.76,1425.0,0.546,7.56,97.85,3,321.72,699.05,55.97,10086.18,8,5,1,5,32.88,0.0015,32.82,23.75
103,101.06,18.9,196751.54,72.86,257.73,1924.13,17.44,1425.0,0.782,7.82,101.24,3,399.35,676.55,46.87,10696.25,6,3,0,999,35.73,0.002,33.69,20.92
53,96.27,22.82,116446.97,78.36,190.3,1130.92,17.44,950.0,0.734,4.21,54.51,2,170.73,382.24,16.24,5190.87,3,3,0,999,44.33,0.0015,48.14,25.93
109,109.13,24.61,292718.38,74.01,197.58,1341.39,17.44,475.0,0.576,8.66,112.11,1,195.59,768.5,56.53,11980.24,3,2,0,999,19.16,0.0007,109.13,28.43
42,93.85,20.99,82725.14,75.79,153.37,1602.79,16.95,1425.0,0.475,2.91,37.71,3,240.97,583.04,16.22,4076.23,9,3,0,999,77.55,0.0029,31.28,24.2
36,106.56,24.31,93246.51,79.47,225.36,889.27,17.05,475.0,0.512,2.59,33.58,1,51.23,187.19,28.05,3840.49,4,1,1,3,46.36,0.0005,106.56,28.26
85,92.35,18.69,146689.98,54.08,202.46,1950.34,17.44,475.0,0.822,6.76,87.42,1,120.9,1173.1,59.87,7902.64,3,2,0,999,31.55,0.0008,92.35,21.13
80,97.02,18.3,142039.79,98.78,285.98,1466.07,17.34,475.0,0.483,5.91,76.52,1,92.26,433.14,53.58,7790.56,1,5,0,999,29.07,0.0006,97.02,22.22
25,88.92,23.05,51241.7,99.68,172.28,1137.0,17.34,1425.0,0.692,1.98,25.59,3,89.61,331.71,13.17,2316.87,11,1,0,999,113.36,0.0017,29.64,26.66
102,101.14,23.33,240649.87,50.73,248.92,2208.01,21.13,950.0,0.374,9.1,117.76,2,224.91,944.26,43.81,10554.13,5,0,0,999,33.9,0.0009,50.57,24.99
32,109.06,23.9,83414.77,82.75,274.15,881.85,21.13,950.0,0.507,2.85,36.94,2,126.46,184.71,14.79,3538.72,5,4,0,999,68.4,0.0015,54.53,26.54
99,96.88,18.4,176456.87,74.78,286.27,1314.14,21.13,1425.0,0.86,8.83,114.29,3,334.9,1286.02,39.82,9842.09,5,5,0,999,31.32,0.0019,32.29,20.0
10,95.92,23.44,22483.22,97.69,244.41,1222.51,16.76,1425.0,0.623,0.76,9.88,3,52.7,75.64,5.76,985.85,8,4,0,999,298.96,0.0023,31.97,29.28
98,88.58,20.64,179142.02,101.25,152.65,1652.28,17.44,1425.0,0.793,7.44,96.33,3,387.42,1350.47,69.15,9012.75,6,3,0,999,33.99,0.0022,29.53,22.43
97,95.67,20.12,186736.14,74.77,170.49,2224.81,18.87,475.0,0.455,7.97,103.2,1,149.1,1214.69,38.19,9327.85,7,5,0,999,30.36,0.0008,95.67,23.06
96,84.76,19.21,156316.16,97.33,238.34,1711.75,17.05,950.0,0.756,6.92,89.54,2,359.56,1422.5,29.02,8303.79,4,6,0,999,31.22,0.0023,42.38,22.8
83,90.2,24.97,186949.93,96.5,212.35,1462.89,17.05,950.0,0.89,5.98,77.41,2,321.4,1105.45,30.11,7665.62,4,6,0,999,32.79,0.0017,45.1,28.13
62,99.31,18.45,113578.8,103.91,168.06,1345.17,17.34,1425.0,0.855,4.9,63.47,3,230.68,459.4,32.89,6277.76,11,2,0,999,49.07,0.002,33.1,21.98
88,108.05,23.79,226200.27,53.28,147.68,1633.83,17.44,950.0,0.561,6.68,86.5,2,336.38,800.11,27.22,9629.05,6,2,0,999,31.65,0.0015,54.03,26.51
40,115.0,22.48,103391.72,104.04,196.04,1191.95,17.75,475.0,0.709,3.09,39.94,1,50.08,478.65,20.07,4633.28,12,1,1,3,49.18,0.0005,115.0,28.32
96,92.81,23.15,206215.46,80.84,189.24,2425.02,17.34,1425.0,0.838,7.59,98.28,3,519.78,783.42,34.14,9211.07,11,3,0,999,42.92,0.0025,30.94,26.57
71,108.98,22.98,177829.14,51.28,238.05,1360.68,16.95,950.0,0.788,4.93,63.74,2,144.17,743.02,25.13,7881.65,9,3,0,999,36.62,0.0008,54.49,26.24
60,99.45,24.01,143261.98,107.69,159.08,1296.05,18.87,1425.0,0.886,4.93,63.84,3,276.34,442.59,39.38,6102.98,7,0,0,999,49.8,0.0019,33.15,27.29
66,96.29,19.29,122568.71,105.17,172.14,1643.31,17.34,950.0,0.318,5.22,67.57,2,227.81,767.55,52.78,6457.09,11,0,1,0,43.49,0.0019,48.15,22.81
73,100.96,18.01,132704.98,81.17,159.4,1628.53,17.34,950.0,0.621,5.4,69.82,2,268.49,614.76,29.0,7513.64,1,2,1,1,38.62,0.002,50.48,21.24
14,98.0,22.19,30442.82,80.3,233.86,1206.77,18.87,475.0,0.774,1.15,14.9,1,25.78,77.72,5.81,1381.38,7,3,0,999,142.57,0.0008,98.0,25.95
25,98.38,20.48,50364.83,76.53,250.98,1256.34,16.95,475.0,0.737,1.73,22.45,1,32.47,366.94,11.21,2485.25,9,4,0,999,82.35,0.0006,98.38,23.03
37,94.23,18.87,65780.61,50.98,258.38,902.59,20.83,475.0,0.392,3.45,44.69,1,68.57,497.24,25.62,3491.88,2,0,1,5,45.59,0.001,94.23,22.49
22,86.32,19.3,36655.04,100.95,166.81,1458.58,17.44,475.0,0.643,1.75,22.63,1,29.12,176.82,12.16,1910.76,3,6,0,999,100.06,0.0008,86.32,22.33
58,85.15,20.32,100366.65,49.68,177.99,1402.48,17.34,950.0,0.399,4.29,55.47,2,143.12,365.18,33.95,5067.24,1,5,0,999,44.49,0.0014,42.58,24.05
84,102.73,18.49,159563.95,77.49,273.16,1590.0,17.44,475.0,0.354,6.38,82.57,1,84.12,1037.59,48.15,8660.16,6,5,0,999,28.76,0.0005,102.73,20.0
82,95.29,18.4,143755.56,49.3,211.51,1749.78,18.87,475.0,0.366,6.74,87.24,1,101.33,590.95,63.03,7869.72,7,4,0,999,30.31,0.0007,95.29,20.29
62,92.73,24.41,140353.94,95.25,156.6,2056.25,17.44,1425.0,0.871,4.71,60.94,3,208.03,685.38,19.68,5933.86,6,6,1,0,60.21,0.0015,30.91,27.3
104,97.57,20.18,204815.89,107.87,243.22,1773.88,17.34,1425.0,0.463,7.69,99.47,3,522.58,1330.24,39.41,10391.47,1,2,1,1,34.13,0.0026,32.52,25.03
72,103.86,24.88,186016.89,79.97,197.06,1459.28,17.44,475.0,0.573,5.47,70.77,1,82.42,556.15,35.36,7504.82,6,5,0,999,30.71,0.0004,103.86,27.05
18,98.94,24.75,44080.08,78.64,250.73,835.32,17.34,1425.0,0.453,1.42,18.43,3,85.61,141.23,9.79,1826.74,11,5,0,999,143.87,0.0019,32.98,30.09
94,92.25,19.0,164743.93,99.84,220.72,2081.34,17.34,475.0,0.836,6.95,89.91,1,105.89,527.92,33.56,8773.81,1,0,0,999,30.61,0.0006,92.25,21.5
73,107.31,23.0,180209.08,102.96,200.39,1226.77,18.29,475.0,0.833,5.81,75.24,1,124.42,598.49,54.5,7885.54,10,6,0,999,27.47,0.0007,107.31,26.14
80,110.13,22.21,195646.71,107.33,272.4,1916.25,17.05,950.0,0.693,5.77,74.61,2,205.69,877.96,51.11,8950.65,4,4,0,999,40.57,0.0011,55.07,24.46
72,101.46,22.83,166803.15,53.57,255.32,1433.41,17.34,475.0,0.797,5.32,68.86,1,94.23,472.17,55.16,7313.26,1,2,0,999,30.8,0.0006,101.46,26.7
71,105.29,18.67,139593.29,79.07,164.85,1035.64,17.34,475.0,0.363,5.25,67.91,1,116.47,1031.69,54.7,7500.34,1,0,1,3,24.71,0.0008,105.29,21.89
20,107.44,19.32,41512.98,101.46,245.32,1188.94,17.34,1425.0,0.899,1.48,19.13,3,116.34,244.48,11.13,2203.13,1,0,0,999,148.04,0.0028,35.81,22.86
72,106.54,18.54,142192.1,51.42,175.61,1393.45,17.44,1425.0,0.55,5.47,70.77,3,430.19,506.81,52.31,7826.37,6,0,1,3,42.3,0.003,35.51,21.1
98,102.41,22.23,223099.72,104.7,219.7,1676.47,18.87,475.0,0.54,8.06,104.27,1,133.01,1010.0,65.5,10054.57,7,2,0,999,25.26,0.0006,102.41,25.83
43,102.29,24.91,109545.45,55.87,216.57,1225.83,16.76,475.0,0.417,3.28,42.5,1,83.69,383.32,20.65,4423.57,8,5,0,999,45.89,0.0008,102.29,27.87
76,101.66,22.7,175409.21,100.98,195.43,1954.82,17.34,1425.0,0.826,5.62,72.69,3,367.61,670.59,47.78,7919.92,1,4,0,999,48.37,0.0021,33.89,27.52
13,88.72,22.98,26499.22,76.88,234.17,939.42,16.76,1425.0,0.401,0.99,12.85,3,74.35,137.8,10.09,1193.7,8,3,0,999,205.81,0.0028,29.57,28.28
48,103.11,24.89,123192.91,101.02,184.67,1573.26,16.95,475.0,0.814,3.33,43.1,1,49.34,291.91,32.74,4967.99,9,0,0,999,48.62,0.0004,103.11,28.21
58,86.65,22.75,114319.58,100.99,295.43,1109.97,17.34,1425.0,0.729,4.29,55.47,3,179.77,414.88,37.97,5128.73,1,5,0,999,50.54,0.0016,28.88,26.67
119,91.14,18.28,198279.42,55.93,250.17,1733.8,16.95,475.0,0.763,8.26,106.84,1,127.87,773.12,48.9,10894.01,9,4,0,999,21.13,0.0006,91.14,20.54
33,107.93,24.07,85725.28,80.15,176.52,1065.08,20.83,950.0,0.318,3.08,39.86,2,119.09,222.41,23.61,3622.59,2,4,1,1,68.84,0.0014,53.96,29.09
40,104.22,20.55,85681.74,100.08,267.68,1137.17,17.44,1425.0,0.743,3.04,39.32,3,136.55,462.09,19.79,4300.58,6,2,0,999,73.25,0.0016,34.74,22.5
55,109.4,18.03,108488.98,51.6,207.77,1367.73,16.76,950.0,0.879,4.2,54.36,2,129.42,822.89,33.66,6083.64,8,6,0,999,46.86,0.0012,54.7,20.14
120,95.33,21.55,246521.91,101.06,226.89,1520.34,17.34,950.0,0.536,9.49,122.85,2,380.5,1381.33,76.66,11700.05,11,5,0,999,23.32,0.0015,47.66,23.61
