lote_id,cantidad_animales,peso_promedio_entrada,precio_compra_kg,duracion_estadia_dias,mes_adquisicion,kilos_entrada,kilos_salida,costo_logistica_total,costo_alimentacion,costo_fijo_total,compra_total,precio_base_kg,costo_variable_total,precio_venta_final_kg,costo_total_lote
29,70,94.082,19.567,3,7,6585.739,6615.008,1800.99,0.0,403.19,128861.23,21.918,130662.22,24.177,130662.22
30,59,98.768,18.994,3,5,5827.331,5814.331,1280.45,48.07,948.58,110686.84,20.209,112015.36,22.409,112015.36
31,60,102.505,19.563,2,9,6150.283,6135.112,1003.53,68.75,499.62,120319.04,21.077,121391.32,23.274,121391.31999999999
32,35,95.025,19.574,1,4,3325.883,3327.902,668.87,0.0,581.61,65100.12,21.74,65768.99,24.106,65768.99
33,20,101.154,18.075,1,6,2023.084,2028.209,501.43,0.0,823.37,36568.12,19.903,37069.55,22.34,37069.55
34,71,92.205,17.264,1,5,6546.526,6546.75,994.7,0.0,526.21,113017.37,19.151,114012.07,21.155,114012.06999999999
35,108,94.596,19.088,2,3,10216.321,10257.053,2770.55,114.18,299.53,195009.65,21.609,197894.38,23.802,197894.37999999998
36,17,94.446,18.647,1,9,1605.584,1609.711,466.94,0.0,478.05,29938.75,21.658,30405.69,24.15,30405.69
37,105,87.933,17.495,2,3,9232.995,9256.312,1843.78,25.46,492.88,161527.83,19.052,163397.07,21.016,163397.06999999998
38,101,101.396,16.378,1,4,10240.974,10257.998,2098.57,0.0,227.05,167725.3,17.545,169823.87,19.324,169823.87
39,40,93.745,18.987,2,10,3749.791,3775.976,557.99,0.0,448.83,71197.88,20.544,71755.87,22.729,71755.87000000001
40,80,97.6,17.05,1,12,7807.996,7803.191,1440.55,0.0,351.56,133125.1,20.192,134565.65,22.261,134565.65
41,28,101.346,19.747,3,9,2837.687,2820.631,827.9,17.43,684.87,56036.53,22.0,56881.86,24.467,56881.86
42,94,101.072,16.964,1,11,9500.791,9546.517,2065.99,0.0,506.92,161170.31,18.632,163236.3,20.554,163236.3
43,87,102.823,16.491,1,11,8945.608,8933.325,2294.38,0.0,443.44,147522.31,18.939,149816.69,20.888,149816.69
44,49,96.712,19.324,1,6,4738.894,4740.427,1248.66,0.0,478.76,91576.52,20.383,92825.18,22.532,92825.18000000001
45,17,94.114,16.613,3,10,1599.931,1606.217,610.07,26.62,544.62,26579.88,18.075,27216.57,20.255,27216.57
46,117,96.862,16.717,1,4,11332.884,11278.409,2976.55,0.0,623.36,189452.65,18.932,192429.2,20.886,192429.19999999998
47,59,84.001,18.398,2,6,4956.078,4937.468,1748.87,7.84,300.06,91179.6,19.43,92936.31,21.44,92936.31
48,109,85.923,19.498,2,7,9365.618,9320.627,2542.33,33.02,291.68,182613.14,20.964,185188.49,23.095,185188.49
49,85,86.918,16.786,2,12,7388.064,7370.463,2322.13,0.0,720.94,124014.12,19.796,126336.25,21.883,126336.25
50,96,89.522,17.241,3,11,8594.114,8605.449,2445.07,176.21,417.53,148173.66,19.417,150794.94,21.412,150794.94
51,94,100.698,19.11,3,6,9465.63,9480.516,2412.59,197.79,216.63,180884.59,21.235,183494.97,23.384,183494.97
52,31,90.256,19.887,2,8,2797.941,2800.26,755.64,0.0,588.76,55643.51,22.0,56399.15,24.431,56399.15
53,50,94.475,18.003,3,3,4723.735,4703.714,1266.86,118.15,592.67,85041.23,19.267,86426.24,21.332,86426.23999999999
54,61,107.894,16.576,1,10,6581.523,6535.911,1159.73,0.0,193.86,109092.63,18.216,110252.36,20.07,110252.36
55,65,94.65,16.056,3,7,6152.243,6153.246,1324.94,0.0,545.9,98778.84,18.157,100103.78,20.07,100103.78
56,14,103.4,16.919,2,7,1447.602,1445.553,643.21,0.0,647.12,24491.43,18.381,25134.64,20.712,25134.64
57,70,90.031,16.527,3,10,6302.174,6310.859,1969.32,23.15,574.88,104157.85,19.545,106150.32,21.6,106150.32
58,27,95.856,18.711,3,8,2588.125,2593.576,847.35,0.0,626.4,48425.47,21.06,49272.82,23.432,49272.82
59,92,89.9,16.487,3,1,8270.784,8274.214,1509.09,122.08,219.15,136363.14,18.456,137994.31,20.331,137994.31
60,85,94.788,18.025,3,4,8056.958,8075.331,1988.98,19.78,566.21,145229.24,20.384,147238.0,22.5,147238.0
61,112,104.222,18.777,2,3,11672.916,11680.943,2578.01,113.68,439.48,219182.93,20.342,221874.62,22.418,221874.62
62,92,83.681,18.324,1,9,7698.692,7710.935,1753.82,0.0,403.44,141074.43,20.396,142828.25,22.493,142828.25
63,50,100.975,16.799,2,1,5048.769,5038.096,610.73,0.0,674.11,84814.8,19.603,85425.53,21.71,85425.53
64,117,99.402,19.216,1,3,11630.021,11623.754,1507.69,0.0,795.85,223488.27,21.437,224995.96,23.656,224995.96
65,55,92.747,18.862,3,8,5101.074,5104.085,1465.67,33.43,858.87,96214.56,20.81,97713.66,23.076,97713.65999999999
66,46,85.932,18.956,1,9,3952.851,3962.581,883.12,0.0,762.96,74929.99,21.282,75813.11,23.622,75813.11
67,110,98.077,16.524,1,7,10788.474,10775.73,2849.05,0.0,478.05,178271.24,19.352,181120.29,21.336,181120.28999999998
68,51,93.264,16.495,1,11,4756.467,4763.904,1080.96,0.0,570.54,78458.0,19.14,79538.96,21.186,79538.96
69,18,99.361,19.71,2,12,1788.505,1787.079,605.91,15.88,653.36,35251.89,22.0,35873.68,24.602,35873.68
70,62,97.675,17.59,2,2,6055.839,6053.703,1292.53,0.0,524.24,106524.1,18.787,107816.63,20.761,107816.63
71,98,110.314,17.204,3,12,10810.795,10837.698,2473.69,87.32,526.15,185986.69,20.076,188547.7,22.137,188547.7
72,31,95.585,17.954,2,8,2963.14,2945.423,636.69,15.06,664.75,53201.21,20.629,53852.96,22.94,53852.96
73,61,89.312,18.651,1,8,5448.033,5426.844,1419.25,0.0,488.14,101613.76,20.08,103033.01,22.187,103033.01
74,24,98.934,19.822,1,2,2374.421,2363.863,803.88,0.0,354.14,47066.94,21.823,47870.82,24.17,47870.82
75,86,99.26,17.146,1,8,8536.358,8476.596,2281.84,0.0,417.11,146362.55,18.733,148644.39,20.66,148644.38999999998
76,62,108.374,19.699,2,9,6719.157,6705.485,1621.45,0.0,626.78,132362.24,21.159,133983.69,23.378,133983.69
77,46,104.181,16.099,3,7,4792.321,4803.096,746.59,0.0,500.6,77153.67,18.08,77900.26,20.003,77900.26
78,35,100.355,18.221,2,2,3512.424,3509.422,810.55,37.64,568.04,63999.15,19.845,64847.34,22.008,64847.340000000004
79,72,109.206,18.536,3,7,7862.862,7867.528,963.59,17.35,634.02,145745.24,20.84,146726.18,23.013,146726.18
80,84,87.99,16.424,1,12,7391.151,7415.303,1168.69,0.0,425.03,121389.23,19.839,122557.92,21.886,122557.92
81,114,92.382,16.561,1,9,10531.547,10573.494,2591.89,0.0,651.25,174416.72,19.158,177008.61,21.142,177008.61000000002
82,58,90.087,17.676,3,2,5225.069,5223.985,1321.18,24.99,575.77,92360.7,19.49,93706.87,21.56,93706.87
83,27,94.382,19.865,1,12,2548.301,2558.649,765.81,0.0,253.04,50621.82,22.0,51387.63,24.309,51387.63
84,102,86.487,18.384,1,12,8821.624,8824.062,2648.77,0.0,788.46,162178.24,20.964,164827.01,23.159,164827.00999999998
85,79,102.581,19.732,2,3,8103.915,8083.557,1941.1,0.0,399.85,159907.21,22.0,161848.31,24.254,161848.31
86,87,95.722,19.217,3,10,8327.833,8312.983,2082.52,148.3,168.98,160039.66,21.703,162270.48,23.896,162270.47999999998
87,20,85.734,17.87,3,5,1714.671,1707.055,573.65,0.0,290.99,30640.36,20.267,31214.01,22.481,31214.010000000002
88,44,89.375,19.139,1,8,3932.516,3922.038,921.8,0.0,295.79,75264.64,20.586,76186.44,22.728,76186.44
89,95,100.008,16.071,3,6,9500.771,9490.566,1953.19,0.0,510.43,152690.18,18.815,154643.37,20.756,154643.37
90,102,104.205,16.437,3,10,10628.911,10654.535,2566.81,129.95,445.23,174702.91,18.014,177399.67,19.861,177399.67
91,58,113.474,19.318,3,12,6581.483,6615.459,880.11,34.58,432.63,127139.21,20.998,128053.9,23.17,128053.90000000001
92,99,115.0,19.187,3,10,11385.0,11337.792,1783.39,0.0,623.94,218447.05,20.821,220230.44,22.964,220230.44
93,103,100.815,16.931,1,12,10383.973,10396.211,2287.68,0.0,567.98,175806.52,19.188,178094.2,21.167,178094.19999999998
94,53,89.584,18.123,3,12,4747.936,4733.115,734.92,119.57,563.21,86047.21,20.057,86901.7,22.194,86901.70000000001
95,109,80.444,18.424,1,2,8768.356,8780.843,2077.75,0.0,581.97,161548.74,19.953,163626.49,22.021,163626.49
96,42,99.642,19.471,3,4,4184.951,4183.305,1181.34,0.0,623.23,81485.0,20.802,82666.34,23.046,82666.34
97,36,90.996,18.412,2,9,3275.873,3257.88,954.9,0.0,120.0,60316.78,20.358,61271.68,22.434,61271.68
98,85,94.177,17.65,3,8,8005.057,8027.35,1416.03,100.08,427.11,141291.55,18.589,142807.66,20.506,142807.65999999997
99,80,92.603,17.497,2,1,7408.258,7394.812,1915.1,50.86,120.0,129620.34,19.631,131586.3,21.612,131586.3
100,25,96.374,17.704,2,2,2409.342,2405.483,603.95,0.0,507.21,42653.85,20.162,43257.8,22.41,43257.799999999996
